t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758268951,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268981,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269011,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269041,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269071,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269101,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269131,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269161,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269191,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269221,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269251,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269281,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269311,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269341,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269371,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269401,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269431,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269461,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269491,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269521,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269551,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269581,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269611,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269641,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269671,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269701,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269731,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269761,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269791,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269821,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269851,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269881,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269911,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269941,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758269971,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270001,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270031,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270061,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270091,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270121,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270151,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270181,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270211,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270241,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270271,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270301,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270331,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758270362,11,294,36.36363636363637,2,88.53278796838234,3.0,6.0,294.0,294.0,294.0,294.0
1758270392,12,294,33.5,2,84.99358264545089,2.5,5.5,294.0,294.0,294.0,294.0
1758270422,13,294,31.153846153846153,2,81.81365631099958,3.0,5.0,294.0,294.0,294.0,294.0
1758270452,14,294,29.071428571428573,2,78.98925368556282,2.5,4.5,294.0,294.0,294.0,294.0
1758270482,15,294,27.266666666666666,2,76.43621679606625,2.0,4.0,294.0,294.0,294.0,294.0
1758270512,16,294,25.6875,2,74.11407311255626,2.0,3.75,294.0,294.0,294.0,294.0
1758270542,17,294,25.0,2,71.81660671460327,2.0,5.0,294.0,294.0,294.0,294.0
1758270572,19,294,22.57894736842105,2,68.09659461992509,2.0,4.0,294.0,294.0,294.0,294.0
1758270602,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270632,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270662,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270692,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270722,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270752,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270782,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270812,20,294,21.55,2,66.43990161277927,2.0,3.75,283.29999999999984,294.0,294.0,294.0
1758270842,21,294,20.666666666666668,2,64.88399905472329,2.0,3.5,272.5999999999997,294.0,294.0,294.0
1758270872,22,294,19.818181818181817,2,63.44524175459261,2.0,3.25,261.8999999999995,294.0,294.0,294.0
1758270902,23,294,19.0,1,62.11060515505603,2.0,3.0,251.1999999999994,294.0,294.0,294.0
1758270932,23,294,19.0,1,62.11060515505603,2.0,3.0,251.1999999999994,294.0,294.0,294.0
1758496830,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758496860,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758496890,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758496920,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758496950,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758496980,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497010,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497040,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497070,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497100,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497130,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497160,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497190,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497220,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497250,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497280,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
1758497310,4,357,113.75,3,166.9917662640886,47.5,290.0,357.0,357.0,357.0,357.0
